time	V(n002)	V(n003)	I(Rload)
8.094341343274381e-008	2.089107e-002	4.934026e+000	1.197911e-002
8.137745893313971e-008	1.925020e-002	4.963412e+000	1.198075e-002
8.182150209696997e-008	1.783372e-002	4.993439e+000	1.198217e-002
8.258205812599062e-008	1.583863e-002	5.044697e+000	1.198416e-002
8.336147631922368e-008	1.418820e-002	5.096913e+000	1.198581e-002
8.443320232874753e-008	1.240693e-002	5.168066e+000	1.198759e-002
8.559714712232474e-008	1.090660e-002	5.244344e+000	1.198909e-002
8.722338019418172e-008	9.298638e-003	5.349174e+000	1.199070e-002
8.869705325972739e-008	8.194230e-003	5.442025e+000	1.199181e-002
9.116803053250243e-008	6.813524e-003	5.593284e+000	1.199319e-002
9.351215074698572e-008	5.857888e-003	5.730632e+000	1.199414e-002
9.820039117595228e-008	4.525100e-003	5.989015e+000	1.199547e-002
1.026973894756212e-007	3.650522e-003	6.211931e+000	1.199635e-002
1.116913860749591e-007	2.502282e-003	6.580107e+000	1.199750e-002
1.214570110749591e-007	1.528681e-003	6.862529e+000	1.199847e-002
1.275526837298723e-007	8.347027e-004	6.921161e+000	1.199917e-002
1.303511682018887e-007	3.832437e-004	6.879175e+000	1.199962e-002
1.318091852637405e-007	1.797507e-004	6.847383e+000	1.199982e-002
1.323573278335784e-007	1.715347e-004	6.844563e+000	1.199983e-002
1.328019838373011e-007	1.888007e-004	6.846334e+000	1.199981e-002
1.331469387208377e-007	1.961430e-004	6.846705e+000	1.199980e-002
1.333963429841358e-007	1.980679e-004	6.846404e+000	1.199980e-002
1.335473859580822e-007	1.986999e-004	6.846393e+000	1.199980e-002
1.336294831480561e-007	2.007568e-004	6.846272e+000	1.199980e-002
1.336718983729193e-007	2.002459e-004	6.846250e+000	1.199980e-002
1.336976058680655e-007	2.005829e-004	6.846275e+000	1.199980e-002
1.337155921712944e-007	2.009746e-004	6.846251e+000	1.199980e-002
1.337321442017117e-007	2.008874e-004	6.846245e+000	1.199980e-002
1.337492826148058e-007	2.011611e-004	6.846237e+000	1.199980e-002
1.337699504854414e-007	2.013178e-004	6.846227e+000	1.199980e-002
1.338026579281342e-007	2.016403e-004	6.846211e+000	1.199980e-002
1.338603741392801e-007	2.021755e-004	6.846184e+000	1.199980e-002
1.339758065615719e-007	2.032343e-004	6.846128e+000	1.199980e-002
1.342066714061555e-007	2.052523e-004	6.846009e+000	1.199979e-002
1.346684010953226e-007	2.089394e-004	6.845751e+000	1.199979e-002
1.355017222541767e-007	2.147743e-004	6.845237e+000	1.199978e-002
1.364430274997050e-007	2.203139e-004	6.844610e+000	1.199978e-002
1.378395517731722e-007	2.269819e-004	6.843642e+000	1.199977e-002
1.396910944496029e-007	2.339728e-004	6.842369e+000	1.199977e-002
1.423564044301682e-007	2.410780e-004	6.840499e+000	1.199976e-002
1.458703472261566e-007	2.426074e-004	6.836904e+000	1.199976e-002
1.508394997378466e-007	2.248234e-004	6.827087e+000	1.199977e-002
1.555337157235427e-007	1.902261e-004	6.812019e+000	1.199981e-002
1.577596284199354e-007	1.739446e-004	6.803259e+000	1.199983e-002
1.609543223865244e-007	1.606855e-004	6.790732e+000	1.199984e-002
1.643128072300064e-007	1.574994e-004	6.778833e+000	1.199984e-002
1.682548955025817e-007	1.624437e-004	6.766481e+000	1.199984e-002
1.729249017493474e-007	1.726495e-004	6.753472e+000	1.199983e-002
1.777234764631383e-007	1.839082e-004	6.741794e+000	1.199982e-002
1.873206258907201e-007	2.044637e-004	6.721849e+000	1.199980e-002
1.970862508907201e-007	2.220387e-004	6.704861e+000	1.199978e-002
2.068518758907201e-007	2.360767e-004	6.690971e+000	1.199976e-002
2.166175008907201e-007	2.471876e-004	6.679509e+000	1.199975e-002
2.263831258907201e-007	2.559895e-004	6.669943e+000	1.199974e-002
2.361487508907201e-007	2.629915e-004	6.661866e+000	1.199974e-002
2.459143758907201e-007	2.685977e-004	6.654969e+000	1.199973e-002
