time	V(n002)	V(n003)	I(Rload)
8.393260619506661e-006	1.198593e+001	-5.142903e-002	1.406939e-005
8.401631155220947e-006	1.198623e+001	-5.142917e-002	1.377234e-005
8.411396780220946e-006	1.198657e+001	-5.142934e-002	1.343331e-005
8.447669101649516e-006	1.198773e+001	-5.142991e-002	1.226568e-005
8.483941423078086e-006	1.198882e+001	-5.143045e-002	1.118214e-005
8.520213744506655e-006	1.198982e+001	-5.143094e-002	1.018269e-005
8.556486065935227e-006	1.199073e+001	-5.143139e-002	9.267343e-006
8.592758387363797e-006	1.199156e+001	-5.143180e-002	8.436085e-006
8.629030708792366e-006	1.199231e+001	-5.143217e-002	7.688921e-006
8.665303030220936e-006	1.199297e+001	-5.143250e-002	7.025852e-006
8.701575351649506e-006	1.199359e+001	-5.143280e-002	6.415039e-006
8.737847673078075e-006	1.199415e+001	-5.143308e-002	5.848229e-006
8.774119994506645e-006	1.199467e+001	-5.143333e-002	5.325423e-006
8.810392315935216e-006	1.199515e+001	-5.143357e-002	4.846620e-006
8.846664637363786e-006	1.199559e+001	-5.143378e-002	4.411820e-006
8.882936958792356e-006	1.199598e+001	-5.143398e-002	4.021024e-006
8.919209280220926e-006	1.199633e+001	-5.143415e-002	3.674231e-006
8.956876690935210e-006	1.199666e+001	-5.143431e-002	3.343461e-006
8.994544101649494e-006	1.199696e+001	-5.143446e-002	3.037225e-006
9.032211512363779e-006	1.199724e+001	-5.143460e-002	2.755523e-006
9.069878923078062e-006	1.199750e+001	-5.143473e-002	2.498354e-006
9.107546333792347e-006	1.199773e+001	-5.143484e-002	2.265720e-006
9.145213744506630e-006	1.199794e+001	-5.143495e-002	2.057619e-006
9.182881155220915e-006	1.199813e+001	-5.143504e-002	1.874052e-006
9.221943655220913e-006	1.199830e+001	-5.143512e-002	1.699607e-006
9.261006155220912e-006	1.199846e+001	-5.143520e-002	1.538465e-006
9.300068655220910e-006	1.199861e+001	-5.143527e-002	1.390627e-006
9.339131155220908e-006	1.199874e+001	-5.143534e-002	1.256092e-006
9.378193655220907e-006	1.199886e+001	-5.143540e-002	1.134861e-006
9.417256155220905e-006	1.199897e+001	-5.143545e-002	1.026932e-006
9.456318655220904e-006	1.199907e+001	-5.143550e-002	9.323070e-007
9.498171333792331e-006	1.199916e+001	-5.143555e-002	8.398863e-007
9.540024012363758e-006	1.199925e+001	-5.143559e-002	7.548887e-007
9.581876690935185e-006	1.199932e+001	-5.143562e-002	6.773144e-007
9.623729369506610e-006	1.199939e+001	-5.143566e-002	6.071633e-007
9.665582048078038e-006	1.199946e+001	-5.143569e-002	5.444354e-007
9.707434726649465e-006	1.199951e+001	-5.143572e-002	4.891308e-007
9.749287405220892e-006	1.199956e+001	-5.143574e-002	4.412493e-007
9.782769548078033e-006	1.199959e+001	-5.143576e-002	4.056309e-007
9.816251690935175e-006	1.199963e+001	-5.143578e-002	3.724230e-007
9.849733833792316e-006	1.199966e+001	-5.143579e-002	3.416255e-007
9.883215976649458e-006	1.199969e+001	-5.143581e-002	3.132385e-007
9.916698119506599e-006	1.199971e+001	-5.143582e-002	2.872620e-007
9.950180262363741e-006	1.199974e+001	-5.143583e-002	2.636959e-007
9.983662405220882e-006	1.199976e+001	-5.143584e-002	2.425404e-007
9.990234375000001e-006	1.199976e+001	-5.143584e-002	2.385045e-007
1.000000000000000e-005	1.199976e+001	-5.143584e-002	2.355377e-007
